TID,BOOK_NAME,CODE,TITLE,FILENAME,I_DATE,PPT,SUMMARY,GUEST_SPEAKER
62,"JOSHUA","JS01","Joshua 01","Joshua_01","02/05/14 19:00:00",1,,0
201,"JEREMIAH","JE01","Jeremiah 01-02","Jeremiah_01-02","05/26/10 19:00:00",1,,0
250,"OBADIAH","OB01","Obadiah 01","Obadiah_01","05/02/12 19:00:00",1,"Pastor Ken Merrihew gives us a look into the life and ministry of Obadiah",0
256,"HABAKKUK","HK01","Habakkuk 01-03","Habakkuk_01-03","07/11/12 19:00:00",1,,0
257,"ZEPHANIAH","ZP01","Zephaniah 01-03","Zephaniah_01-03","07/18/12 19:00:00",1,,0
259,"ZECHARIAH","ZE01","Zechariah 01-02","Zechariah_01-02","08/01/12 19:00:00",1,,0
265,"MALACHI","ML01","Malachi 01-02","Malachi_01-02","10/03/12 19:00:00",1,,0
365,"JOHN","JN01","John 01:1-14","John_01a","05/30/10 10:00:00",1,,0
574,"LEADERSHIP","LD01","Go In This Thy Might","Go_In_This_Thy_Might","11/14/99 00:00:00",0,,0
575,"LEADERSHIP","LD02","What You Be Do Here?","What_You_Be_Do_Here","11/21/99 00:00:00",0,,0
576,"LEADERSHIP","LD03","Shepherds and Undershepherds","Shepherds_and_Undershepherds","11/28/99 00:00:00",0,,0
577,"LEADERSHIP","LD04","Joshua or Joab?","Joshua_or_Joab","12/05/99 00:00:00",0,,0
578,"END TIMES SERIES","DO24","End Times, pt. 1 - The Millennium","End_Times_pt._1_-_The_Millennium","07/20/05 00:00:00",1,,0
579,"END TIMES SERIES","DO25","End Times, pt. 2 - The Rapture","End_Times_pt._2_-_The_Rapture","07/27/05 00:00:00",1,,0
580,"END TIMES SERIES","DO26","End Times, pt. 3 - Pre-trib Raptue","End_Times_pt._3_-_Pre-trib_Rapture","08/03/05 00:00:00",1,,0
581,"CALVINISM - ARMINIANISM SERIES","DO27","Introduction","Introduction","02/01/06 00:00:00",1,,0
582,"CALVINISM - ARMINIANISM SERIES","DO28","The Depravity of Man","The_Depravity_of_Man","02/08/06 00:00:00",1,,0
583,"CALVINISM - ARMINIANISM SERIES","DO29","The Conditions of Election","The_Conditions_of_Election","02/15/06 00:00:00",1,,0
584,"CALVINISM - ARMINIANISM SERIES","DO30","The Limits of the Atonement","The_Limits_of_the_Atonement","03/01/06 00:00:00",1,,0
585,"CALVINISM - ARMINIANISM SERIES","DO31","Simply Irresistible","Simply_Irresistible","03/08/06 00:00:00",1,,0
586,"CALVINISM - ARMINIANISM SERIES","DO32","Finishing the Race","Finishing_the_Race","03/15/06 00:00:00",1,,0
587,"SEASONAL TOPICS","TP33","Easter 2001: A Passionate Savior","A_Passionate_Savior","04/15/01 00:00:00",0,,0
589,"SEASONAL TOPICS","TP39","Easter 2003: Now What?","Now_What","04/20/03 00:00:00",0,,0
590,"SEASONAL TOPICS","TP42","Easter 2005: The Weight of Sin","The_Weight_of_Sin","03/27/05 00:00:00",1,,0
591,"SEASONAL TOPICS","TP43","Easter 2006: I Will Rise Up","I_Will_Rise_Up","04/06/06 00:00:00",1,,0
592,"SEASONAL TOPICS","TP37","Christmas 2002: What's Wrong With Christmas?","Whats_Wrong_With_Christmas","12/22/02 00:00:00",0,,0
593,"SEASONAL TOPICS","TP41","Christmas 2004: The Secularization of Christmas","The_Secularization_of_Christmas","12/19/04 00:00:00",0,,0
594,"SEASONAL TOPICS","TP45","Christmas 2005: What's All the Hubbub About Humbug?","Whats_All_The_Hubbub_About_Humbug","12/18/05 00:00:00",1,,0
595,"SEASONAL TOPICS","TP44","Christmas 2006: The Seed of a Woman","The_Seed_of_a_Woman","12/24/06 10:00:00",1,,0
596,"MISCELLANEOUS","TP20","The Significance of Baptism","The_Significance_of_Baptism_OLD","05/23/10 10:00:00",1,,0
597,"MISCELLANEOUS","TP35","What's Up With the Middle East?","Whats_Up_With_The_Mideast","10/24/01 00:00:00",0,,0
598,"MISCELLANEOUS","TP15","Why I Am Pro-life","Why_I_Am_Pro-life","12/29/02 00:00:00",0,,0
599,"MISCELLANEOUS","TP40","Parenting 101","Parenting_101","05/02/04 00:00:00",0,,0
608,"MISCELLANEOUS","TP46","Whose Land Is It?","Whose_Land_Is_It","08/01/07 19:00:00",1,,0
